,Account_date,sales_qty,last_7days_mean,last_7days_var,last_7days_trend,cv_7days,last_14days_mean,last_14days_var,last_14days_trend,cv_14days,last_21days_mean,last_21days_var,last_21days_trend,cv_21days
0,2020-03-06,5.24,,,,,,,,,,,,
1,2020-02-29,718.9023999999989,,,,,,,,,,,,
2,2020-03-04,57.9049,,,,,,,,,,,,
3,2020-02-27,676.3373999999997,,,,,,,,,,,,
4,2020-03-03,357.22130000000016,,,,,,,,,,,,
5,2020-03-05,16.26,,,,,,,,,,,,
6,2020-02-23,1132.3619999999996,,,,,,,,,,,,
7,2020-02-22,1571.6775000000002,423.4611428571426,502540.4252578774,2.6677636317374507,1.6491636212062288,,,,,,,,
8,2020-02-28,725.8209999999996,647.2379285714284,854588.5212230416,2.424538014095575,1.4145306027263356,,,,,,,,
9,2020-02-20,96.05000000000001,648.2263,6020.937468089927,1.1179784306335088,0.11995046596877984,,,,,,,,
10,2020-03-02,410.9686000000004,653.6755999999999,310946.3097753598,0.14671388394496454,0.8455369019228195,,,,,,,,
11,2020-03-10,1.11,615.7657714285714,41941.8814251435,0.6663284816342882,0.3304567798523832,,,,,,,,
12,2020-03-01,696.9966999999996,564.8927285714286,317850.9650354451,0.001961502496775575,0.987567598528905,,,,,,,,
13,2020-03-07,4.43,662.1408285714285,1214.9317730450757,1.0510538183895344,0.05358494041548917,,,,,,,,
14,2020-02-24,800.0964999999994,501.0076857142857,246589.3979493559,0.008824566089454863,0.9794688145606796,423.4611428571426,175587.09868416304,0.010436762173754426,0.9757701707272068,423.4611428571426,175587.09868416304,0.010436762173754426,0.9757701707272068
15,2020-02-25,790.707499999999,390.7818285714284,167538.50024667906,2.042199105858041,1.0315068259959295,647.2379285714285,23365.742859183523,1.2342636318168443,0.23517219762010932,647.2379285714285,23365.742859183523,1.2342636318168443,0.23517219762010932
16,2020-02-26,704.9991999999992,400.0513285714283,152612.24427522876,1.9715867862015368,0.9621788308690997,648.2263,20300.892353439693,1.21792277977648,0.21897961055592383,648.2263,20300.892353439693,1.21792277977648,0.21897961055592383
17,2020-02-21,864.2999999999993,487.04407142857104,47504.43807058777,1.4445400349529318,0.4431894667580981,653.6755999999999,2634.111916959924,1.0768679938583312,0.07919711277365059,653.6755999999999,2634.111916959924,1.0768679938583312,0.07919711277365059
18,2020-03-08,2.42,551.8056999999995,97652.68753248983,1.563478813622942,0.5610076990982733,615.7657714285714,61769.26277159476,1.4013423572421695,0.4006871283227685,615.7657714285714,61769.26277159476,1.4013423572421695,0.4006871283227685
19,2020-03-09,0.0,551.9928428571424,302030.30960608134,0.004376186837241168,0.9849371953369503,564.8927285714286,316375.57038658805,0.004276428866844046,0.985276959158,564.8927285714286,316375.57038658805,0.004276428866844046,0.985276959158
