,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
0,沙洲绿宝瓜1只-约3斤,47.64640000000001,29.91%,30.0,17.4,1.0,1.0,70.6464
1,红肉菠萝蜜1斤,47.64640000000001,38.78%,25.3,18.8,1.0,1.0,70.6464
2,山顶红珍柚1只约3斤,47.64640000000001,27.68%,19.8,10.200000000000001,1.0,1.0,70.6464
3,甘极烤香薯1盒,47.64640000000001,26.75%,16.8,8.3,1.0,1.0,70.6464
4,丑橘1斤,47.64640000000001,24.03%,6.596,2.7960000000000003,1.0,1.0,70.6464
5,沙洲绿宝瓜1只-约3斤,47.13,29.64%,30.0,17.4,1.0,2.0,70.83
6,红肉菠萝蜜1斤,47.13,38.43%,25.3,18.8,1.0,2.0,70.83
7,山顶红珍柚1只约3斤,47.13,27.44%,19.8,10.200000000000001,1.0,2.0,70.83
8,甘极烤香薯1盒,47.13,26.51%,16.8,8.3,1.0,2.0,70.83
9,小黄瓜1份-不少于500g,47.13,19.59%,6.8,2.3,1.0,2.0,70.83
10,沙洲绿宝瓜1只-约3斤,46.93054000000001,29.59%,30.0,17.4,1.0,3.0,69.93054
11,红肉菠萝蜜1斤,46.93054000000001,38.37%,25.3,18.8,1.0,3.0,69.93054
12,山顶红珍柚1只约3斤,46.93054000000001,27.39%,19.8,10.200000000000001,1.0,3.0,69.93054
13,甘极烤香薯1盒,46.93054000000001,26.47%,16.8,8.3,1.0,3.0,69.93054
14,银火龙果1只-约1斤,46.93054000000001,20.42%,5.8006,2.0006000000000004,1.0,3.0,69.93054
15,沙洲绿宝瓜1只-约3斤,46.89200000000001,29.56%,30.0,17.4,1.0,4.0,70.092
16,红肉菠萝蜜1斤,46.89200000000001,38.33%,25.3,18.8,1.0,4.0,70.092
17,山顶红珍柚1只约3斤,46.89200000000001,27.36%,19.8,10.200000000000001,1.0,4.0,70.092
18,甘极烤香薯1盒,46.89200000000001,26.44%,16.8,8.3,1.0,4.0,70.092
19,赣南蜜桔2斤,46.89200000000001,20.19%,5.98,1.9800000000000004,1.0,4.0,70.092
20,沙洲绿宝瓜1只-约3斤,46.04500000000001,29.23%,30.0,17.4,1.0,5.0,68.445
21,红肉菠萝蜜1斤,46.04500000000001,37.90%,25.3,18.8,1.0,5.0,68.445
22,山顶红珍柚1只约3斤,46.04500000000001,27.05%,19.8,10.200000000000001,1.0,5.0,68.445
23,珍珠牛奶枣1斤,46.04500000000001,22.68%,11.45,4.949999999999999,1.0,5.0,68.445
24,冰糖橙1斤,46.04500000000001,24.08%,9.5,4.3,1.0,5.0,68.445
25,沙洲绿宝瓜1只-约3斤,45.510000000000005,29.17%,30.0,17.4,1.0,6.0,64.71
26,红肉菠萝蜜1斤,45.510000000000005,37.82%,25.3,18.8,1.0,6.0,64.71
27,山顶红珍柚1只约3斤,45.510000000000005,27.00%,19.8,10.200000000000001,1.0,6.0,64.71
28,甘极烤香薯1盒,45.510000000000005,26.09%,16.8,8.3,1.0,6.0,64.71
29,沙洲绿宝瓜1只-约3斤,45.500760000000014,28.81%,30.0,17.4,1.0,7.0,70.70076
30,红肉菠萝蜜1斤,45.500760000000014,37.36%,25.3,18.8,1.0,7.0,70.70076
31,凯特芒青1个-约700g,45.500760000000014,20.95%,21.4564,8.856399999999999,1.0,7.0,70.70076
32,甘极烤香薯1盒,45.500760000000014,25.77%,16.8,8.3,1.0,7.0,70.70076
33,认养一头牛常温酸奶1盒,45.500760000000014,19.87%,5.0,2.0,1.0,7.0,70.70076
34,沙洲绿宝瓜1只-约3斤,45.42130000000001,28.73%,30.0,17.4,1.0,8.0,71.4213
35,红肉菠萝蜜1斤,45.42130000000001,37.25%,25.3,18.8,1.0,8.0,71.4213
36,凯特芒青1个-约700g,45.42130000000001,20.89%,21.4564,8.856399999999999,1.0,8.0,71.4213
37,甘极烤香薯1盒,45.42130000000001,25.70%,16.8,8.3,1.0,8.0,71.4213
38,银火龙果1只-约1斤,45.42130000000001,19.82%,5.8006,2.0006000000000004,1.0,8.0,71.4213
39,沙洲绿宝瓜1只-约3斤,45.38276000000001,28.70%,30.0,17.4,1.0,9.0,71.58276000000001
40,红肉菠萝蜜1斤,45.38276000000001,37.21%,25.3,18.8,1.0,9.0,71.58276000000001
41,凯特芒青1个-约700g,45.38276000000001,20.87%,21.4564,8.856399999999999,1.0,9.0,71.58276000000001
42,甘极烤香薯1盒,45.38276000000001,25.67%,16.8,8.3,1.0,9.0,71.58276000000001
43,赣南蜜桔2斤,45.38276000000001,19.60%,5.98,1.9800000000000004,1.0,9.0,71.58276000000001
44,沙洲绿宝瓜1只-约3斤,45.21450000000001,28.85%,30.0,17.4,1.0,10.0,67.4145
45,红肉菠萝蜜1斤,45.21450000000001,37.41%,25.3,18.8,1.0,10.0,67.4145
46,山顶红珍柚1只约3斤,45.21450000000001,26.71%,19.8,10.200000000000001,1.0,10.0,67.4145
47,蜜宝红心火龙果1只-约450g,45.21450000000001,19.92%,10.305,4.005,1.0,10.0,67.4145
48,冰糖橙1斤,45.21450000000001,23.77%,9.5,4.3,1.0,10.0,67.4145
